edad ;trabajo;estado civil;nivel educación;Credito_default;balance_anual;Prestamo_vivienda;Prestamo_personal;contacto;contacto_diaU;Contacto_mesU;Duración_contactoU;Nro_contactosCampaña;Veces_contatado;y
58;Administrador;Casado;Superior;no;2143;Si;no;Desconocido;5;may;261;1;0;no
44;técnico;Soltero;Secundaria;no;29;Si;no;Desconocido;5;may;151;1;0;no
33;empresario;Casado;Secundaria;no;2;Si;Si;Desconocido;5;may;76;1;0;no
47;obrero;Casado;Desconocido;no;1506;Si;no;Desconocido;5;may;92;1;0;no
33;desconocido;Soltero;Desconocido;no;1;no;no;Desconocido;5;may;198;1;0;no
35;Administrador;Casado;Superior;no;231;Si;no;Desconocido;5;may;139;1;0;no
28;Administrador;Soltero;Superior;no;447;Si;Si;Desconocido;5;may;217;1;0;no
42;empresario;divorciado;Superior;Si;2;Si;no;Desconocido;5;may;380;1;0;no
58;Jubilado;Casado;Primaria;no;121;Si;no;Desconocido;5;may;50;1;0;no
43;técnico;Soltero;Secundaria;no;593;Si;no;Desconocido;5;may;55;1;0;no
41;admin.;divorciado;Secundaria;no;270;Si;no;Desconocido;5;may;222;1;0;no
29;admin.;Soltero;Secundaria;no;390;Si;no;Desconocido;5;may;137;1;0;no
53;técnico;Casado;Secundaria;no;6;Si;no;Desconocido;5;may;517;1;0;no
58;técnico;Casado;Secundaria;no;71;Si;no;Desconocido;5;may;71;1;0;no
57;servicios;Casado;Secundaria;no;162;Si;no;Desconocido;5;may;174;1;0;no
51;Jubilado;Casado;Secundaria;no;229;Si;no;Desconocido;5;may;353;1;0;no
45;admin.;Soltero;Secundaria;no;13;Si;no;Desconocido;5;may;98;1;0;no
57;obrero;Casado;Secundaria;no;52;Si;no;Desconocido;5;may;38;1;0;no
60;Jubilado;Casado;Secundaria;no;60;Si;no;Desconocido;5;may;219;1;0;no
33;servicios;Casado;Secundaria;no;0;Si;no;Desconocido;5;may;54;1;0;no
28;obrero;Casado;Secundaria;no;723;Si;Si;Desconocido;5;may;262;1;0;no
56;Administrador;Casado;Secundaria;no;779;Si;no;Desconocido;5;may;164;1;0;no
32;obrero;Soltero;Secundaria;no;23;Si;Si;Desconocido;5;may;160;1;0;no
25;servicios;Casado;Secundaria;no;50;Si;no;Desconocido;5;may;342;1;0;no
40;Jubilado;Casado;Secundaria;no;0;Si;Si;Desconocido;5;may;181;1;0;no
44;admin.;Casado;Secundaria;no;-372;Si;no;Desconocido;5;may;172;1;0;no
39;Administrador;Soltero;Secundaria;no;255;Si;no;Desconocido;5;may;296;1;0;no
52;empresario;Casado;Secundaria;no;113;Si;Si;Desconocido;5;may;127;1;0;no
46;Administrador;Soltero;Secundaria;no;-246;Si;no;Desconocido;5;may;255;2;0;no
36;técnico;Soltero;Secundaria;no;265;Si;Si;Desconocido;5;may;348;1;0;no
57;técnico;Casado;Secundaria;no;839;no;Si;Desconocido;5;may;225;1;0;no
49;Administrador;Casado;Secundaria;no;378;Si;no;Desconocido;5;may;230;1;0;no
60;admin.;Casado;Secundaria;no;39;Si;Si;Desconocido;5;may;208;1;0;no
59;obrero;Casado;Secundaria;no;0;Si;no;Desconocido;5;may;226;1;0;no
51;Administrador;Casado;Secundaria;no;10635;Si;no;Desconocido;5;may;336;1;0;no
57;técnico;divorciado;Secundaria;no;63;Si;no;Desconocido;5;may;242;1;0;no
25;obrero;Casado;Secundaria;no;-7;Si;no;Desconocido;5;may;365;1;0;no
53;técnico;Casado;Secundaria;no;-3;no;no;Desconocido;5;may;1666;1;0;no
36;admin.;divorciado;Secundaria;no;506;Si;no;Desconocido;5;may;577;1;0;no
37;admin.;Soltero;Secundaria;no;0;Si;no;Desconocido;5;may;137;1;0;no
44;servicios;divorciado;Secundaria;no;2586;Si;no;Desconocido;5;may;160;1;0;no
50;Administrador;Casado;Secundaria;no;49;Si;no;Desconocido;5;may;180;2;0;no
60;obrero;Casado;Secundaria;no;104;Si;no;Desconocido;5;may;22;1;0;no
54;Jubilado;Casado;Secundaria;no;529;Si;no;Desconocido;5;may;1492;1;0;no
58;Jubilado;Casado;Secundaria;no;96;Si;no;Desconocido;5;may;616;1;0;no
36;admin.;Soltero;Secundaria;no;-171;Si;no;Desconocido;5;may;242;1;0;no
58;Independiente;Casado;Secundaria;no;-364;Si;no;Desconocido;5;may;355;1;0;no
44;técnico;Casado;Secundaria;no;0;Si;no;Desconocido;5;may;225;2;0;no
55;técnico;divorciado;Secundaria;no;0;no;no;Desconocido;5;may;160;1;0;no
29;Administrador;Soltero;Secundaria;no;0;Si;no;Desconocido;5;may;363;1;0;no
54;obrero;Casado;Secundaria;no;1291;Si;no;Desconocido;5;may;266;1;0;no
48;Administrador;divorciado;Secundaria;no;-244;Si;no;Desconocido;5;may;253;1;0;no
32;Administrador;Casado;Secundaria;no;0;Si;no;Desconocido;5;may;179;1;0;no
42;admin.;Soltero;Secundaria;no;-76;Si;no;Desconocido;5;may;787;1;0;no
24;técnico;Soltero;Secundaria;no;-103;Si;Si;Desconocido;5;may;145;1;0;no
38;empresario;Soltero;Secundaria;no;243;no;Si;Desconocido;5;may;174;1;0;no
38;Administrador;Soltero;Secundaria;no;424;Si;no;Desconocido;5;may;104;1;0;no
47;obrero;Casado;Secundaria;no;306;Si;no;Desconocido;5;may;13;1;0;no
40;obrero;Soltero;Secundaria;no;24;Si;no;Desconocido;5;may;185;1;0;no
46;servicios;Casado;Secundaria;no;179;Si;no;Desconocido;5;may;1778;1;0;no
32;admin.;Casado;Secundaria;no;0;Si;no;Desconocido;5;may;138;1;0;no
53;técnico;divorciado;Secundaria;no;989;Si;no;Desconocido;5;may;812;1;0;no
57;obrero;Casado;Secundaria;no;249;Si;no;Desconocido;5;may;164;1;0;no
33;servicios;Casado;Secundaria;no;790;Si;no;Desconocido;5;may;391;1;0;no
49;obrero;Casado;Secundaria;no;154;Si;no;Desconocido;5;may;357;1;0;no
51;Administrador;Casado;Secundaria;no;6530;Si;no;Desconocido;5;may;91;1;0;no
60;Jubilado;Casado;Secundaria;no;100;no;no;Desconocido;5;may;528;1;0;no
59;Administrador;divorciado;Secundaria;no;59;Si;no;Desconocido;5;may;273;1;0;no
55;técnico;Casado;Secundaria;no;1205;Si;no;Desconocido;5;may;158;2;0;no
35;obrero;Soltero;Secundaria;no;12223;Si;Si;Desconocido;5;may;177;1;0;no
57;obrero;Casado;Secundaria;no;5935;Si;Si;Desconocido;5;may;258;1;0;no
31;servicios;Casado;Secundaria;no;25;Si;Si;Desconocido;5;may;172;1;0;no
54;Administrador;Casado;Secundaria;no;282;Si;Si;Desconocido;5;may;154;1;0;no
55;obrero;Casado;Secundaria;no;23;Si;no;Desconocido;5;may;291;1;0;no
43;técnico;Casado;Secundaria;no;1937;Si;no;Desconocido;5;may;181;1;0;no
53;técnico;Casado;Secundaria;no;384;Si;no;Desconocido;5;may;176;1;0;no
44;obrero;Casado;Secundaria;no;582;no;Si;Desconocido;5;may;211;1;0;no
55;servicios;divorciado;Secundaria;no;91;no;no;Desconocido;5;may;349;1;0;no
49;servicios;divorciado;Secundaria;no;0;Si;Si;Desconocido;5;may;272;1;0;no
55;servicios;divorciado;Secundaria;Si;1;Si;no;Desconocido;5;may;208;1;0;no
45;admin.;Soltero;Secundaria;Si;206;Si;no;Desconocido;5;may;193;1;0;no
47;servicios;divorciado;Secundaria;Si;164;no;no;Desconocido;5;may;212;1;0;no
42;técnico;Soltero;Secundaria;Si;690;Si;no;Desconocido;5;may;20;1;0;no
59;admin.;Casado;Secundaria;Si;2343;Si;no;Desconocido;5;may;1042;1;0;Si
46;Independiente;Casado;Secundaria;Si;137;Si;Si;Desconocido;5;may;246;1;0;no
51;obrero;Casado;Secundaria;Si;173;Si;no;Desconocido;5;may;529;2;0;no
56;admin.;Casado;Secundaria;Si;45;no;no;Desconocido;5;may;1467;1;0;Si
41;técnico;Casado;Secundaria;Si;1270;Si;no;Desconocido;5;may;1389;1;0;Si
46;Administrador;divorciado;Secundaria;Si;16;Si;Si;Desconocido;5;may;188;2;0;Si
57;Jubilado;Casado;Secundaria;Si;486;Si;no;Desconocido;5;may;180;2;0;Si
42;Administrador;Soltero;Secundaria;Si;50;no;no;Desconocido;5;may;48;1;0;Si
30;técnico;Casado;Secundaria;Si;152;Si;Si;Desconocido;5;may;213;2;0;Si
60;admin.;Casado;Secundaria;Si;290;Si;no;Desconocido;5;may;583;1;0;Si
60;obrero;Casado;Secundaria;Si;54;Si;no;Desconocido;5;may;221;1;0;Si
57;empresario;divorciado;Secundaria;Si;-37;no;no;Desconocido;5;may;173;1;0;Si
36;Administrador;Casado;Secundaria;Si;101;Si;Si;Desconocido;5;may;426;1;0;Si
55;obrero;Casado;Secundaria;Si;383;no;no;Desconocido;5;may;287;1;0;Si
60;Jubilado;Casado;Secundaria;Si;81;Si;no;Desconocido;5;may;101;1;0;Si
39;técnico;Casado;Secundaria;Si;0;Si;no;Desconocido;5;may;203;1;0;Si
46;Administrador;Casado;Secundaria;Si;229;Si;no;Desconocido;5;may;197;1;0;Si
44;obrero;Casado;Secundaria;Si;-674;Si;no;Desconocido;5;may;257;1;0;Si
53;obrero;Casado;Secundaria;Si;90;no;no;Desconocido;5;may;124;1;0;Si
52;obrero;Casado;Secundaria;Si;128;Si;no;Desconocido;5;may;229;1;0;Si
59;obrero;Casado;Secundaria;Si;179;Si;no;Desconocido;5;may;55;3;0;Si
27;técnico;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;400;1;0;Si
44;obrero;Casado;Secundaria;Si;54;Si;no;Desconocido;5;may;197;1;0;Si
47;técnico;Casado;Secundaria;Si;151;Si;no;Desconocido;5;may;190;1;0;Si
34;admin.;Casado;Secundaria;Si;61;no;Si;Desconocido;5;may;21;1;0;Si
59;Jubilado;Soltero;Secundaria;Si;30;Si;no;Desconocido;5;may;514;1;0;Si
45;Administrador;Casado;Secundaria;Si;523;Si;no;Desconocido;5;may;849;2;0;Si
29;servicios;divorciado;Secundaria;Si;31;Si;no;Desconocido;5;may;194;1;0;Si
46;técnico;divorciado;Secundaria;Si;79;no;no;Desconocido;5;may;144;1;0;Si
56;Independiente;Casado;Secundaria;Si;-34;Si;Si;Desconocido;5;may;212;2;0;Si
36;obrero;Casado;Secundaria;Si;448;Si;no;Desconocido;5;may;286;1;0;Si
59;Jubilado;divorciado;Secundaria;Si;81;Si;no;Desconocido;5;may;107;1;0;Si
44;obrero;Casado;Secundaria;Si;144;Si;no;Desconocido;5;may;247;2;0;Si
41;admin.;Casado;Secundaria;Si;351;Si;no;Desconocido;5;may;518;1;0;Si
33;Administrador;Soltero;Secundaria;Si;-67;Si;no;Desconocido;5;may;364;1;0;Si
59;Administrador;divorciado;Secundaria;Si;262;no;no;Desconocido;5;may;178;1;0;Si
57;técnico;Casado;Secundaria;Si;0;no;no;Desconocido;5;may;98;1;0;Si
56;técnico;divorciado;Secundaria;Si;56;Si;no;Desconocido;5;may;439;1;0;Si
51;obrero;Casado;Secundaria;Si;26;Si;no;Desconocido;5;may;79;1;0;Si
34;admin.;Casado;Secundaria;Si;3;Si;no;Desconocido;5;may;120;3;0;Si
43;servicios;Casado;Secundaria;Si;41;Si;Si;Desconocido;5;may;127;2;0;Si
52;técnico;Casado;Secundaria;Si;7;no;Si;Desconocido;5;may;175;1;0;Si
33;técnico;Soltero;Secundaria;Si;105;Si;no;Desconocido;5;may;262;2;0;Si
29;admin.;Soltero;Secundaria;Si;818;Si;Si;Desconocido;5;may;61;1;0;Si
34;servicios;Casado;Secundaria;Si;-16;Si;Si;Desconocido;5;may;78;1;0;Si
31;obrero;Casado;Secundaria;Si;0;Si;no;Desconocido;5;may;143;1;0;Si
55;servicios;Casado;Secundaria;Si;2476;Si;no;Desconocido;5;may;579;1;0;Si
55;Administrador;Casado;Secundaria;Si;1185;no;no;Desconocido;5;may;677;1;0;Si
32;admin.;Soltero;Secundaria;Si;217;Si;no;Desconocido;5;may;345;1;0;Si
38;técnico;Soltero;Secundaria;Si;1685;Si;no;Desconocido;5;may;185;1;0;Si
55;admin.;Soltero;Secundaria;Si;802;Si;Si;Desconocido;5;may;100;2;0;Si
28;desempleado;Soltero;Secundaria;Si;0;Si;no;Desconocido;5;may;125;2;0;Si
