ID.Cliente;Genero;Mayor65años;Socio;Dependientes;pemanencia;PhoneService;MultipleLineas;Internet;SeguridadOnline;Backup;ProteccionDispositivo;No servicio Internet;TVPago;PeliculasStreaming;TerminoContrato;FactElectronica;MetodoPago;CargoMensual;ImporteTotal;Churn
7590-VHVEG;Femenino;0;Si;No;1;No;No servicio tel;DSL;No;Si;No;No;No;No;Mes a mes;Si;Cheque electronico;29.85;29.85;No
5575-GNVDE;Masculino;0;No;No;34;Si;No;DSL;Si;No;Si;No;No;No;Un año;No;Cheque fisico;56.95;1889.5;No
3668-QPYBK;Masculino;0;No;No;2;Si;No;DSL;Si;Si;No;No;No;No;Mes a mes;Si;Cheque fisico;53.85;108.15;Si
7795-CFOCW;Masculino;0;No;No;45;No;No servicio tel;DSL;Si;No;Si;Si;No;No;Un año;No;TransfBanca (automatica);42.3;1840.75;No
9237-HQITU;Femenino;0;No;No;2;Si;No;Fibra Optica;No;No;No;No;No;No;Mes a mes;Si;Cheque electronico;70.7;151.65;Si
9305-CDSKC;Femenino;0;No;No;8;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electronico;99.65;820.5;Si
1452-KIOVK;Masculino;0;No;Si;22;Si;Si;Fibra Optica;No;Si;No;No;Si;No;Mes a mes;Si;TarjetaCredito (automatico);89.1;1949.4;No
6713-OKOMC;Femenino;0;No;No;10;No;No servicio tel;DSL;Si;No;No;No;No;No;Mes a mes;No;Cheque fisico;29.75;301.9;No
7892-POOKP;Femenino;0;Si;No;28;Si;Si;Fibra Optica;No;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electronico;104.8;3046.05;Si
6388-TABGU;Masculino;0;No;Si;62;Si;No;DSL;Si;Si;No;No;No;No;Un año;No;TransfBanca (automatica);56.15;3487.95;No
9763-GRSKD;Masculino;0;Si;Si;13;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;Si;Cheque fisico;49.95;587.45;No
7469-LKBCI;Masculino;0;No;No;16;Si;No;No;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;No servicio Internet;Dos años;No;TarjetaCredito (automatico);18.95;326.8;No
8091-TTVAX;Masculino;0;Si;No;58;Si;Si;Fibra Optica;No;No;Si;No;Si;Si;Un año;No;TarjetaCredito (automatico);100.35;5681.1;No
0280-XJGEX;Masculino;0;No;No;49;Si;Si;Fibra Optica;No;Si;Si;No;Si;Si;Mes a mes;Si;TransfBanca (automatica);103.7;5036.3;Si
