Nro_Veces_cob;Estado_Credit;Nro_Cuotas;Mes_pres;MES_0_Atraso;MES_1_Atraso;MES_2_Atraso;Llamada_fecha;Hora;Llamada_Resultado;Deuda_total;Estatus;Activación;Tipo_contacto;Cod_cliente;Mora
>10;0;<24, 48];Febrero;244.86;0;245.26;3/02/2014;15;PDP  Promesa De Pago;3816.34;BT;2012;CEF;C00001;0
<=10;0;>48;Febrero;610.58;612.69;611.54;18/02/2014;9;PDP  Promesa De Pago;13620.5;BT;2012;CEF;C00002;0
<=10;0;<24, 48];Febrero;2138.73;0;0;5/02/2014;16;TELF. NO CORRESPONDE;18968.5;BT;2013;CNE;C00003;1
>10;0;<24, 48];Febrero;323.07;46.85;74.26;24/02/2014;19;MCT  Msj Con Terceros;2459.84;BT;2012;CNE;C00004;1
<=10;0;<24, 48];Febrero;920.54;0;0;12/02/2014;14;TELF. NO CORRESPONDE;6591.76;BT;2013;CNE;C00005;1
<=10;0;<24, 48];Febrero;364.27;371.11;0;6/02/2014;7;MCF  Msj Con Familiar;9836.38;BT;2013;CNE;C00006;0
<=10;0;>48;Febrero;692.77;287.31;718.96;5/02/2014;16;TAT sin contacto con Titular;26889.9;BT;2013;CNE;C00007;0
>10;0;>48;Febrero;364.24;728.67;366.12;12/02/2014;9;MCF  Msj Con Familiar;5491.04;BT;2011;CNE;C00008;0
<=10;0;>48;Febrero;492.95;0;492.97;10/02/2014;11;RPP  Recordar Promesa;14985.3;BT;2013;CEF;C00009;0
>10;0;>48;Febrero;653.41;648.31;670.51;4/02/2014;12;MCT  Msj Con Terceros;18148.1;BT;2010;CNE;C00011;0
>10;0;<24, 48];Febrero;548.02;555.44;521.46;6/02/2014;10;PDP  Promesa De Pago;15415.1;BT;2012;CEF;C00012;0
<=10;0;<24, 48];Febrero;839.04;1401.76;0;12/02/2014;20;MCF  Msj Con Familiar;9155.2;BT;2012;CNE;C00014;0
<=10;0;<24, 48];Febrero;70.64;0;0;4/02/2014;14;MCC  Msj Con Comp De Trab;4876.47;BT;2013;CNE;C00015;0
<=10;0;<24, 48];Febrero;113.25;211.33;212.62;26/02/2014;9;MCT  Msj Con Terceros;3146.65;BT;2012;CNE;C00016;0
<=10;0;<24, 48];Febrero;693.22;;0;17/02/2014;11;PDP  Promesa De Pago;18535;BT;2012;CEF;C00017;0
<=10;0;<=24;Febrero;1056.91;;0;7/02/2014;10;TELF. NO CORRESPONDE;1058.03;BT;2013;CNE;C00018;1
<=10;0;<=24;Febrero;466.27;467.04;0;6/02/2014;12;TELF. NO CORRESPONDE;3791.15;BT;2012;CNE;C00019;0
>10;0;>48;Febrero;1259.75;1897.53;0;28/02/2014;9;MCF  Msj Con Familiar;14389.9;BT;2012;CNE;C00020;1
>10;0;<24, 48];Febrero;240.04;240.79;240.57;18/02/2014;7;PDP  Promesa De Pago;3632.16;BT;2012;CEF;C00021;0
<=10;0;<24, 48];Febrero;207.24;206.08;0;19/02/2014;10;TELF. NO CORRESPONDE;3242.09;BT;2012;CNE;C00022;0
<=10;0;<24, 48];Febrero;409.98;405.26;422.27;10/02/2014;18;MCO  Msj Con Conyuge;9710.75;BT;2013;CEF;C00023;0
<=10;0;>48;Febrero;786.41;0;0;5/02/2014;12;MCT  Msj Con Terceros;9094.24;BT;2011;CNE;C00024;0
>10;0;<24, 48];Febrero;363.14;363.14;363.01;4/02/2014;7;MCT  Msj Con Terceros;4178.66;BT;2012;CNE;C00025;0
>10;0;<24, 48];Febrero;381.31;302.27;722.14;3/02/2014;16;MCT  Msj Con Terceros;15190.9;BT;2012;CNE;C00026;0
<=10;0;<=24;Febrero;42.21;0;0;4/02/2014;7;TELF. NO CORRESPONDE;25554.3;BT;2013;CNE;C00027;0
>10;0;<24, 48];Febrero;1650.64;0;0;25/02/2014;19;MCT  Msj Con Terceros;9615.35;BT;2010;CNE;C00028;1
>10;0;>48;Febrero;386.09;0;0;3/02/2014;10;PDP  Promesa De Pago;8609.38;BT;2012;CEF;C00029;0
<=10;0;<24, 48];Febrero;127.69;442.95;448.54;24/02/2014;7;MCF  Msj Con Familiar;4628.75;BT;2012;CNE;C00030;0
<=10;0;<24, 48];Febrero;529.65;1.69;526.97;17/02/2014;19;MCT  Msj Con Terceros;9901.73;BT;2013;CNE;C00032;0
>10;0;>48;Febrero;372.38;374.46;374.63;12/02/2014;10;MCT  Msj Con Terceros;5927.97;BT;2011;CNE;C00033;0
<=10;0;<24, 48];;441.63;1.17;0;6/02/2014;8;TELF. NO CORRESPONDE;11045.9;BT;2012;CNE;C00034;0
<=10;0;>48;Febrero;607.85;0;189.48;4/02/2014;12;TELF. NO CORRESPONDE;18166.6;BT;2013;CNE;C00036;0
<=10;0;<24, 48];Febrero;49.31;68.7;50.38;11/02/2014;16;TELF. NO CORRESPONDE;24985.5;BT;2013;CNE;C00037;0
<=10;0;<24, 48];Febrero;2331.3;0;0;21/02/2014;16;MCT  Msj Con Terceros;20544.2;BT;2012;CNE;C00039;1
