region;departam;almain_1;almapr_2;almase_3;taasi_17;taasp_18;taass_19;taefp_22;taefs_23;doin_24;dopr_25;dose_26;cein_29;cepr_30;cese_31
Selva;Amazonas;11235;81839;31688;46;79.7;55.1;77.9;80.5;505;3272;1718;290;1100;199
Sierra;Ancash;32254;185875;95346;55.5;87.7;59.4;79.6;80.9;1627;8460;6930;834;1781;478
Sierra;Apurimac;14728;94015;44724;45.3;88.8;63.6;77.4;79;609;3711;2277;361;857;207
Costa;Arequipa;31601;143318;104735;44.8;94.5;81.3;90.5;89.3;1969;7534;6869;910;1107;442
Sierra;Ayacucho;17173;127033;55667;39.6;89.9;57.7;75.1;78.9;816;5585;3502;397;1392;298
Sierra;Cajamarca;33304;280254;107485;41.6;90;50;79.1;80.5;1718;11260;6154;894;3532;642
Sierra;Cusco;28357;218864;102172;57.2;84.2;61.5;79.5;85.3;1192;7709;5088;679;1724;381
Sierra;Huancavelica;12354;97094;40042;28.6;90.7;50.1;76.4;79;512;3632;1997;401;1185;263
Selva;Huánuco;14645;154643;57433;24.9;89;48.6;74.1;78.8;611;5261;2865;437;1540;280
Costa;Ica;27381;91946;67029;63.2;93.1;81.8;90;83.1;1448;4527;4401;442;574;180
Sierra;Junín;27315;201280;120197;37.3;89.3;73.3;86.3;84.6;1318;8318;7636;764;1872;467
Costa;La Libertad;37742;241449;121614;43.2;87.1;58.7;84;81.9;2283;10079;7907;795;1830;513
Costa;Lambayeque;24674;161756;97271;55;94.2;72.6;87.5;85.3;1459;6189;5109;434;841;264
Selva;Loreto;36831;194743;75998;45.2;91.8;52.6;77.5;80.1;1730;7598;4582;787;2149;365
Selva;Madre de Dios;3298;15104;9361;40.3;95.5;76.1;85.6;83.1;157;611;541;75;185;45
Costa;Moquegua;5526;18183;13229;59.6;94.1;86.5;90.8;86.8;377;1217;1284;131;189;69
Sierra;Pasco;7257;48469;28087;50.8;89.6;62.5;85.7;83.5;343;2058;2017;216;629;157
Costa;Piura;41212;269426;141192;41.5;90.4;65.3;84.9;87.8;1962;10284;7292;907;2112;552
Sierra;Puno;23977;203886;126582;50.4;93.4;69.3;84.9;84;927;9114;7408;438;1872;480
Selva;San Martín;20469;131746;57783;40.5;92.8;57.9;82.9;83.4;976;5313;3311;511;1203;251
Costa;Tacna;9814;34381;25171;63.2;94.7;77.3;93.1;90.8;616;1694;2023;187;217;99
Costa;Tumbes;8988;26346;17829;76;89.8;76.5;91.4;90.9;463;1482;1406;146;164;69
Selva;Ucayali;15792;92091;42447;56.4;91.4;67.9;79.8;77.5;606;3182;2412;210;742;216
