"","ID","Edad","Educacion","Años_empleo","Ingreso","Deuda.tarjeta","otra.deuda","Direccion"
"1",1,41,2,6,19,0.124,1.073,"NBA001"
"2",2,47,1,26,100,4.582,8.218,"NBA021"
"3",3,33,2,10,57,6.111,5.802,"NBA013"
"4",4,29,2,4,19,0.681,0.516,"NBA009"
"5",5,47,1,31,253,9.308,8.908,"NBA008"
"6",6,40,1,23,81,0.998,7.831,"NBA016"
"7",7,38,2,4,56,0.442,0.454,"NBA013"
"8",8,42,3,0,64,0.279,3.945,"NBA009"
"9",9,26,1,5,18,0.575,2.215,"NBA006"
"10",10,47,3,23,115,0.653,3.947,"NBA011"
"11",11,44,3,8,88,0.285,5.083,"NBA010"
"12",12,34,2,9,40,0.374,0.266,"NBA003"
"13",13,24,1,7,18,0.526,0.643,"NBA000"
"14",14,46,1,6,30,1.415,3.865,"NBA019"
"15",15,28,3,2,20,0.233,1.647,"NBA000"
"16",16,24,1,1,16,0.185,1.287,"NBA005"
"17",17,29,1,1,17,0.132,0.293,"NBA004"
"18",18,43,4,1,26,1.519,1.237,"NBA005"
"19",19,44,1,18,61,2.806,3.782,"NBA000"
"20",20,36,1,16,32,0.544,2.944,"NBA013"
"21",21,29,2,6,25,0.585,0.465,"NBA009"
"22",22,36,3,10,43,0.961,4.629,"NBA004"
"23",23,28,3,6,47,5.574,3.732,"NBA008"
"24",24,45,1,19,77,2.303,4.165,"NBA022"
"25",25,37,4,10,123,3.022,18.257,"NBA018"
"26",26,43,1,9,66,2.341,3.467,"NBA008"
"27",27,24,1,4,21,0.099,0.447,"NBA002"
"28",28,37,1,19,38,2.591,2.539,"NBA007"
"29",29,38,2,13,59,0.408,1.008,"NBA000"
"30",30,34,2,9,45,1.118,3.427,"NBA013"
"31",31,40,3,18,100,1.485,1.015,"NBA006"
"32",32,42,2,12,55,2.533,5.717,"NBA009"
"33",33,23,2,0,42,1.019,0.619,"NBA001"
"34",34,40,3,5,28,1.263,1.537,"NBA018"
"35",35,28,1,12,45,1.854,1.611,"NBA007"
"36",36,33,2,5,37,1.029,2.079,"NBA002"
"37",37,35,3,5,37,0.581,1.417,"NBA003"
"38",38,37,1,0,18,1.584,0.738,"NBA018"
"39",39,22,1,1,18,0.27,0.522,"NBA000"
"40",40,39,3,16,126,1.405,7.163,"NBA010"
"41",41,20,1,4,14,0.201,1.157,"NBA000"
"42",42,48,3,17,113,3.376,10.184,"NBA026"
"43",43,28,2,5,34,3.099,4.993,"NBA009"
"44",44,37,5,9,177,0.888,9.555,"NBA016"
"45",45,48,1,3,27,1.403,4.348,"NBA011"
"46",46,45,3,9,84,1.276,9.728,"NBA000"
"47",47,22,1,4,14,0.225,2.225,"NBA003"
"48",48,30,1,4,21,0.229,0.506,"NBA002"
"49",49,28,1,3,19,0.261,0.518,"NBA007"
"50",50,29,2,10,61,0.798,2.984,"NBA003"
"51",51,47,1,22,81,1.506,2.949,"NBA019"
"52",52,36,1,11,33,1.266,9.459,"NBA002"
"53",53,24,1,3,19,1.358,3.278,"NBA004"
"54",54,56,1,19,66,0.847,1.331,"NBA026"
"55",55,29,3,5,70,3.176,10.754,"NBA006"
"56",56,34,1,2,25,0.573,2.577,"NBA011"
"57",57,32,1,1,20,0.315,0.645,"NBA000"
"58",58,27,3,2,26,0.722,0.838,"NBA007"
"59",59,40,1,9,64,0.79,3.434,"NBA004"
"60",60,50,1,11,36,0.835,0.893,"NBA005"
"61",61,39,1,17,60,2.45,5.77,"NBA020"
"62",62,34,1,18,34,2.1,3.136,"NBA010"
"63",63,36,1,18,67,5.245,2.259,"NBA009"
"64",64,44,2,18,74,4.522,5.394,"NBA004"
"65",65,24,2,4,20,0.324,0.416,"NBA004"
"66",66,31,1,8,44,1.721,1.799,"NBA004"
"67",67,34,1,16,79,1.735,1.425,"NBA009"
"68",68,26,1,4,27,2.472,0.363,"NBA003"
"69",69,38,1,3,23,0.832,2.549,"NBA019"
"70",70,24,1,3,14,0.838,1.416,"NBA000"
"71",71,30,3,8,61,0.55,1.158,"NBA007"
"72",72,40,4,5,75,0.885,0.54,"NBA006"
"73",73,30,2,12,98,2.935,4.121,"NBA009"
"74",74,25,2,5,42,3.366,3.144,"NBA003"
"75",75,29,1,9,33,0.694,0.89,"NBA002"
"76",76,33,1,5,18,0.985,1.337,"NBA010"
"77",77,43,1,8,45,0.677,0.808,"NBA011"
"78",78,35,2,1,21,0.37,1.289,"NBA001"
"79",79,41,2,21,145,3.237,14.453,"NBA022"
"80",80,46,2,18,55,0.419,2.001,"NBA018"
"81",81,33,1,12,68,1.366,5.978,"NBA012"
"82",82,30,3,0,65,3.9,15.405,"NBA008"
"83",83,40,3,18,157,3.326,7.036,"NBA014"
"84",84,38,1,1,42,0.891,2.931,"NBA009"
"85",85,49,2,11,51,0.543,7.107,"NBA001"
"86",86,26,1,0,15,0.386,0.424,"NBA002"
"87",87,22,4,0,25,1.491,1.559,"NBA001"
"88",88,29,2,2,16,0.433,1.247,"NBA004"
"89",89,28,2,8,31,1.492,1.05,"NBA003"
"90",90,23,4,0,32,0.818,5.07,"NBA004"
"91",91,37,2,11,75,0.633,1.992,"NBA004"
"92",92,35,2,5,33,0.103,0.821,"NBA001"
"93",93,31,1,1,21,0.277,0.248,"NBA006"
"94",94,29,1,1,20,0.569,3.151,"NBA002"
"95",95,34,3,7,27,0.125,0.469,"NBA000"
"96",96,47,2,7,49,0.254,0.187,"NBA024"
"97",97,37,1,5,27,0.419,2.119,"NBA011"
"98",98,38,1,10,34,0.036,0.372,"NBA008"
"99",99,32,2,5,28,2.594,1.55,"NBA000"
"100",100,22,3,0,20,0.219,0.721,"NBA002"
"101",101,30,1,7,33,1.165,7.217,"NBA002"
"102",102,38,4,13,126,7.613,9.649,"NBA002"
"103",103,36,1,20,60,1.056,2.184,"NBA015"
"104",104,44,1,5,48,1.97,2.35,"NBA003"
"105",105,27,2,4,22,1.086,1.818,"NBA003"
"106",106,47,1,19,50,3.176,11.874,"NBA007"
"107",107,41,1,7,32,0.072,0.856,"NBA022"
"108",108,25,1,8,27,1.019,2.869,"NBA004"
"109",109,33,2,10,54,0.12,1.5,"NBA002"
"110",110,42,3,13,82,1.315,1.391,"NBA000"
"111",111,36,1,14,53,1.888,1.133,"NBA017"
"112",112,25,4,0,32,2.14,3.492,"NBA002"
"113",113,30,1,10,39,2.056,1.649,"NBA011"
"114",114,24,1,0,16,1.009,1.551,"NBA002"
"115",115,32,1,7,23,0.861,1.393,"NBA010"
"116",116,39,2,9,32,1.43,0.682,"NBA012"
"117",117,30,1,4,18,0.227,1.699,"NBA002"
"118",118,33,1,16,46,2.4,1.326,"NBA012"
"119",119,32,2,12,63,5.55,5.916,"NBA003"
"120",120,33,1,7,26,0.543,1.017,"NBA006"
"121",121,29,2,6,21,0.369,2.046,"NBA004"
"122",122,28,2,5,37,1.124,1.947,"NBA002"
"123",123,33,4,9,32,0.496,1.264,"NBA008"
"124",124,39,2,16,53,0.694,1.267,"NBA012"
"125",125,32,1,10,42,1.54,2.282,"NBA011"
"126",126,46,1,9,72,0.828,2.772,"NBA006"
"127",127,32,2,3,47,0.429,0.464,"NBA013"
"128",128,28,2,5,25,0.339,0.386,"NBA006"
"129",129,26,1,2,21,1.023,3.135,"NBA006"
"130",130,27,1,0,16,0.183,0.089,"NBA001"
"131",131,35,1,16,36,0.179,1.045,"NBA015"
"132",132,35,1,16,57,1.143,4.842,"NBA010"
